Input Sentence,Output Sentence
"सोमवार को , स्टैनफ़ोर्ड यूनिवर्सिटी स्कूल ऑफ़ मेडिसिन के वैज्ञानिकों ने एक नए डायग्नोस्टिक उपकरण के आविष्कार की घोषणा की जो कोशिकाओं को उनके प्रकार के आधार पर छाँट सकता है : एक छोटी प्रिंट करने योग्य चिप जिसे स्टैण्डर्ड इंकजेट प्रिंटर का उपयोग करके लगभग एक अमेरिकी सेंट के लिए निर्मित किया जा सकता .","सोमवार__को , स्टैनफ़ोर्ड__यूनिवर्सिटी__स्कूल__ऑफ़__मेडिसिन__के वैज्ञानिकों__ने एक नए डायग्नोस्टिक उपकरण__के आविष्कार__की घोषणा की जो कोशिकाओं__को उनके प्रकार__के आधार__पर छाँट__सकता__है : एक छोटी प्रिंट करने योग्य चिप जिसे स्टैण्डर्ड__इंकजेट__प्रिंटर__का उपयोग करके__लगभग एक अमेरिकी सेंट__के__लिए निर्मित__किया__जा__सकता ."
"शोधकर्ताओं ने कहा है कि यह अल्प आय वाले देशों में कैंसर , टीवी , एचआईवी और मलेरिया के रोगियों की आसानी से पहचान करेगा , जहाँ अमीर देशों की तुलना में स्तन कैंसर जैसी बीमारी में जीवित रहने की दर आधी हो सकती है .","शोधकर्ताओं__ने कहा__है कि यह अल्प आय__वाले देशों__में कैंसर , टीवी , एचआईवी और मलेरिया__के रोगियों__की आसानी__से पहचान करेगा , जहाँ अमीर देशों__की__तुलना__में स्तन__कैंसर__जैसी बीमारी__में जीवित रहने__की दर आधी हो__सकती__है ."
"स्थानीय समय ( 0230 UTC ) के मुताबिक करीब 9:30 बजे JAS 39C Gripen रनवे पर धमाके के साथ दुर्घटनाग्रस्त हो गया , जिसकी वजह से वाणिज्यिक उड़ानों के लिए हवाई अड्डे को बंद कर दिया गया .","स्थानीय समय ( 0230 UTC ) के मुताबिक करीब 9:30 बजे JAS__39C__Gripen रनवे__पर धमाके__के साथ दुर्घटनाग्रस्त__हो__गया , जिसकी वजह__से वाणिज्यिक उड़ानों__के__लिए हवाई__अड्डे__को बंद__कर__दिया__गया ."
पायलट की पहचान स्क्वाड्रन लीडर दिलोकृत पटावी के रूप में की गई .,पायलट__की पहचान स्क्वाड्रन__लीडर दिलोकृत पटावी__के__रूप__में की__गई .
स्थानीय मीडिया ने बताया है कि कार्रवाई करने के दौरान एयरपोर्ट का अग्निशामक वाहन लुढ़क गया था .,स्थानीय मीडिया__ने बताया__है कि कार्रवाई करने__के__दौरान एयरपोर्ट__का अग्निशामक वाहन लुढ़क__गया__था .
28 वर्षीय विडाल तीन सीजन पहले सेविला से बारका में शामिल हुए थे ।,28 वर्षीय विडाल तीन सीजन पहले सेविला__से बारका__में शामिल__हुए__थे ।
"कातलान की राजधानी ( बार्सिलोना ) में जाने के बाद से , विडाल ने क्लब के लिए 49 गेम खेले थे .","कातलान__की राजधानी ( बार्सिलोना ) में जाने__के बाद से , विडाल__ने क्लब__के__लिए 49 गेम खेले__थे ."
"व्हाइटहॉल पर लगभग 11:00 बजे स्थानीय समय ( यूटीसी + 1 ) पर विरोध शुरू हुआ , जो प्रधानमंत्री के आधिकारिक आवास डाउनिंग स्ट्रीट के पुलिस - पहरेदार के दरवाजे के सामने था ।","व्हाइटहॉल__पर लगभग 11:00 बजे स्थानीय समय ( यूटीसी + 1 ) पर विरोध शुरू__हुआ , जो प्रधानमंत्री__के आधिकारिक आवास__डाउनिंग__स्ट्रीट__के पुलिस__- पहरेदार__के दरवाजे__के सामने था ।"
"ठीक 11 :00 बजे के बाद , व्हाइटहॉल में उत्तर की ओर जाने वाले ट्रैफ़िक को प्रदर्शनकारियों ने रोक दिया .","ठीक 11 :00 बजे__के बाद , व्हाइटहॉल__में__उत्तर__की ओर जाने__वाले ट्रैफ़िक__को प्रदर्शनकारियों__ने रोक__दिया ."
"11 :20 पर , पुलिस ने प्रदर्शनकारियों को यह कहते हुए फ़ुटपाथ पर वापस जाने के लिए कहा कि उन्हें भीड़ इकट्ठा करने के साथ विरोध करने के अधिकार को संतुलित करने की ज़रूरत है .","11 :20__पर , पुलिस__ने प्रदर्शनकारियों__को यह कहते__हुए फ़ुटपाथ__पर वापस जाने__के__लिए कहा कि उन्हें भीड़ इकट्ठा करने__के साथ विरोध करने__के अधिकार__को संतुलित__करने__की ज़रूरत है ."
"11 :29 बजे के आस - पास , विरोध करने वाले लोग व्हाइटहॉल की ओर बढ़ गए . इसके बाद , वे किनारे - किनारे चलते हुए ट्राफ़ल्गर स्क्वायर , एल्डविच , किंग्सवे से गुजरते हुए होलबर्न की ओर बढ़ गए , जहाँ कंजरवेटिव पार्टी , रूम होटल में अपने स्प्रिंग फ़ोरम का आयोजन कर रही थी .","11 :29 बजे__के आस - पास , विरोध करने__वाले लोग व्हाइटहॉल__की__ओर बढ़__गए . इसके बाद , वे किनारे - किनारे चलते__हुए ट्राफ़ल्गर__स्क्वायर , एल्डविच__, किंग्सवे__से गुजरते__हुए होलबर्न__की ओर बढ़__गए , जहाँ कंजरवेटिव__पार्टी , रूम__होटल__में अपने स्प्रिंग__फ़ोरम__का आयोजन कर__रही__थी ."
कनाडियन के खिलाफ नडाल का सीधा रिकॉर्ड 7-2 है ।,कनाडियन__के खिलाफ नडाल__का सीधा रिकॉर्ड 7-2 है ।
वे हाल ही में ब्रिस्बेन ओपन में रोनिक के खिलाफ हार गए थे .,वे हाल ही में ब्रिस्बेन__ओपन__में रोनिक__के__खिलाफ हार__गए__थे .
फ़र्स्ट सर्व में नडाल को 76 मैच विनिंग पॉइंट्स में 88 % नेट पॉइंट्स मिले .,फ़र्स्ट सर्व__में नडाल__को 76 मैच__विनिंग__पॉइंट्स__में 88 % नेट पॉइंट्स मिले .
"मैच के बाद , क्ले के राजा ने कहा , “ मैं सबसे महत्वपूर्ण इवेंट के अंतिम दौर में वापस आने को लेकर उत्साहित हूँं । मैं यहाँ इसे जीतने का प्रयास कर रहा हूँं ।”","मैच__के बाद , क्ले__के राजा__ने कहा , “ मैं सबसे महत्वपूर्ण इवेंट__के अंतिम दौर__में वापस आने__को लेकर उत्साहित__हूँं । मैं यहाँ इसे जीतने__का प्रयास कर__रहा__हूँं ।”"
“पनामा पेपर्स” पनामा की कानूनी मोसाक फोंसेका से लगभग दस मिलियन दस्तावेजों के लिए एक शब्द युग्म है जिसे सन 2016 के वसंत में प्रेस को लीक कर दिया गया ।,“पनामा__पेपर्स” पनामा__की कानूनी मोसाक__फोंसेका__से लगभग दस मिलियन दस्तावेजों__के__लिए एक शब्द__युग्म है जिसे सन__2016__के वसंत__में प्रेस__को लीक__कर__दिया__गया ।
दस्तावेजों से पता चलता है कि चौदह बैंकों ने अमीर ग्राहकों को कर और अन्य नियमों से बचने के लिए अरबों अमेरिकी डॉलर की संपत्ति छिपाने में मदद की ।,दस्तावेजों__से पता चलता__है कि चौदह बैंकों__ने अमीर ग्राहकों__को कर और अन्य नियमों__से बचने__के__लिए अरबों अमेरिकी डॉलर__की संपत्ति छिपाने__में मदद की ।
ब्रिटिश अख़बार द गार्जियन के अनुसार ड्यूश बैंक ने इसे पूरा करने के लिए इस्तेमाल की जाने वाली 1200 शेल कंपनियों में से एक तिहाई को मोटे तौर पर नियंत्रित किया .,ब्रिटिश अख़बार__द__गार्जियन__के__अनुसार ड्यूश__बैंक__ने इसे पूरा__करने__के__लिए इस्तेमाल__की__जाने वाली 1200 शेल__कंपनियों__में__से एक तिहाई__को मोटे तौर__पर नियंत्रित__किया .
